ID,Name,Type,Wiki,Chapter,Episode,Year,Note,Number,Appears in
Akibi,Akibi,Filler,https://onepiece.fandom.com/wiki/Akibi,,,2003,,139,Ruluka Island Arc
Akihiro,Akihiro,Filler,https://onepiece.fandom.com/wiki/Akihiro,,,2007,,318,Water 7 Arc
Akisu,Akisu,Movie,https://onepiece.fandom.com/wiki/Akisu,,,2001,,2,Clockwork Island Adventure
Akudai_Kanzaburo,Akudai Kanzaburo,Canon,https://onepiece.fandom.com/wiki/Akudai_Kanzaburo,926.0,0918,2018,His name was revealed in Vivre Card.,,
Akumai,Akumai,Canon,https://onepiece.fandom.com/wiki/Akumai,129.0,0078,2000,His name was revealed in the Blue databook.,,
Aladine,Aladine,Canon,https://onepiece.fandom.com/wiki/Aladine,620.0,0540,2011,His name was revealed in Chapter 623.,,
Alan,Alan,TV special,https://onepiece.fandom.com/wiki/Alan,,,2003,,3,Protect! The Last Great Performance
Albert,Albert,Game,https://onepiece.fandom.com/wiki/Albert,,,2019,,,One Piece: World Seeker
Albion,Albion,Canon,https://onepiece.fandom.com/wiki/Albion,600.0,0519,2010,,,
Alice,Alice,Canon,https://onepiece.fandom.com/wiki/Alice,487.0,Film: Red,2008,Her name was revealed in Chapter 1109.,,
All-Hunt_Grount,All-Hunt Grount,Filler,https://onepiece.fandom.com/wiki/All-Hunt_Grount,,,2017,,780,Marine Rookie Arc
Ally,Ally,Canon,https://onepiece.fandom.com/wiki/Ally,658.0,0583,2012,,,
Alpacacino,Alpacacino,Filler,https://onepiece.fandom.com/wiki/Alpacacino,,,2012,,575,Z's Ambition Arc
Alpacaman,Alpacaman,Canon,https://onepiece.fandom.com/wiki/Alpacaman,934.0,0929,2019,,,
Alpha,Alpha,Canon,https://onepiece.fandom.com/wiki/Alpha,1100.0,,2023,,,
Alto,Alto,OVA,https://onepiece.fandom.com/wiki/Alto,,,1998,,1,One Piece - Defeat Him! The Pirate Ganzack
Alvida,Alvida,Canon,https://onepiece.fandom.com/wiki/Alvida,2.0,0001,1997,,,
Amadob,Amadob,Canon,https://onepiece.fandom.com/wiki/Amadob,559.0,0467,2009,His name was revealed in the Green databook.,,
Amanda,Amanda,TV special,https://onepiece.fandom.com/wiki/Amanda,,,2003,,2,"A Father's Huge, HUGE Dream"
Amazon,Amazon,Canon,https://onepiece.fandom.com/wiki/Amazon,238.0,0153,2002,,,
Amity,Amity,Live Performance,https://onepiece.fandom.com/wiki/Amity,,,2012,,,WANTED
An_Zengaiina,An Zengaiina,Canon,https://onepiece.fandom.com/wiki/An_Zengaiina,528.0,0425,2009,His name was revealed in the Vivre Card databook.,,
Anba,Anba,Canon,https://onepiece.fandom.com/wiki/Anba,969.0,0970,2020,His name was revealed in the Vivre Card databook.,,
Andre,Andre,Canon,https://onepiece.fandom.com/wiki/Andre,558.0,0479,2009,His name was revealed in the Green databook.,,
Ange,Ange,Canon,https://onepiece.fandom.com/wiki/Ange,1131.0,,2024,Her name was revealed in Chapter 1134.,,
Anikin,Anikin,Game,https://onepiece.fandom.com/wiki/Anikin,,,2023,,,One Piece Odyssey
Anjo,Anjo,Canon,https://onepiece.fandom.com/wiki/Anjo,1.0,0400,1997,His name was revealed in the Blue databook.,,
Ankoro,Ankoro,Canon,https://onepiece.fandom.com/wiki/Ankoro,606.0,0525,2010,,,
Ann_(Romance_Dawn),Ann,Romance Dawn,https://onepiece.fandom.com/wiki/Ann_(Romance_Dawn),,,1996,,2,"Romance Dawn, Version 2"
Ann,Ann,Live Attraction,https://onepiece.fandom.com/wiki/Ann,,,2017,,3,One Piece Live Attraction: Phantom
Anna,Anna,Game,https://onepiece.fandom.com/wiki/Anna,,,2019,,,One Piece: World Seeker
Ant_De_Bonham,Ant De Bonham,Filler,https://onepiece.fandom.com/wiki/Ant_De_Bonham,,,2017,,780,Marine Rookie Arc
Antonio_(Non-Canon),Antonio,TV special,https://onepiece.fandom.com/wiki/Antonio_(Non-Canon),,,2015,,9,Episode of Sabo
Antonio,Antonio,Canon,https://onepiece.fandom.com/wiki/Antonio,497.0,0391,2008,His name is written on his restaurant.,,
Aoba_Michiru,Aoba Michiru,Spin-Off,https://onepiece.fandom.com/wiki/Aoba_Michiru,,,2014,,1,MiraBato Strongest Strategy: MiraBato GO!
Aobire,Aobire,Filler,https://onepiece.fandom.com/wiki/Aobire,,,2007,,317,Water 7 Arc
Aphelandra,Aphelandra,Canon,https://onepiece.fandom.com/wiki/Aphelandra,514.0,0408,2008,,,
Apis,Apis,Filler,https://onepiece.fandom.com/wiki/Apis,,,2001,,054,Warship Island Arc
Aramaki,Aramaki,Canon,https://onepiece.fandom.com/wiki/Aramaki,905.0,0882,2018,"His alias, Ryokugyu, was first mentioned by Donquixote Doflamingo in Chapter 713. His real name was revealed in Chapter 1053.",,
Arba,Arba,Movie,https://onepiece.fandom.com/wiki/Arba,,,2016,,13,One Piece Film: Gold
Arbell,Arbell,Filler,https://onepiece.fandom.com/wiki/Arbell,,,2007,,326,Ice Hunter Arc
Ardel,Ardel,Game,https://onepiece.fandom.com/wiki/Ardel,,,2023,,,One Piece Odyssey
Aremo_Ganmi,Aremo Ganmi,Canon,https://onepiece.fandom.com/wiki/Aremo_Ganmi,707.0,0636,2013,Her name was revealed in SBS Volume 73.,,
Arista,Arista,Stage Show,https://onepiece.fandom.com/wiki/Arista,,,2018,,,Tongari Pirates Wanted!
Arlong,Arlong,Canon,https://onepiece.fandom.com/wiki/Arlong,69.0,0031,1999,,,
Arsel,Arsel,Game,https://onepiece.fandom.com/wiki/Arsel,,,2023,,,One Piece Odyssey
Arthur,Arthur,Canon,https://onepiece.fandom.com/wiki/Arthur,556.0,0472,2009,His name was revealed in the Green databook.,,
Artur_Bacca,Artur Bacca,Novel,https://onepiece.fandom.com/wiki/Artur_Bacca,,,2019,,3,One Piece novel Law
Aruyutayan_V,Aruyutayan V,Canon,https://onepiece.fandom.com/wiki/Aruyutayan_V,292.0,0189,2003,His name was revealed in Vivre Card.,,
Asahija,Asahija,Canon,https://onepiece.fandom.com/wiki/Asahija,483.0,0375,2007,His name was revealed in the Blue Deep databook.,,
Asashichi,Asashichi,Canon,https://onepiece.fandom.com/wiki/Asashichi,930.0,0924,2019,His name was revealed in Vivre Card.,,
Ashura_Doji,Ashura Doji,Canon,https://onepiece.fandom.com/wiki/Ashura_Doji,920.0,0910,2018,"He was first mentioned as ""Shutenmaru"" by Holed'em in Chapter 916.",,
Aswa,Aswa,Canon,https://onepiece.fandom.com/wiki/Aswa,163.0,0100,2001,Her name was revealed in the Blue databook.,,
Atago_Niina,Atago Niina,Spin-Off,https://onepiece.fandom.com/wiki/Atago_Niina,,,2018,,15,One Piece in Love
Atagoyama,Atagoyama,Canon,https://onepiece.fandom.com/wiki/Atagoyama,915.0,0902,2018,His name was revealed in Vivre Card.,,
Vegapunk/Atlas,Atlas,Canon,https://onepiece.fandom.com/wiki/Vegapunk/Atlas,1062.0,1091,2022,,,
Atmos,Atmos,Canon,https://onepiece.fandom.com/wiki/Atmos,553.0,0461,2009,,,
Atoli,Atoli,Game,https://onepiece.fandom.com/wiki/Atoli,,,2001,,,Legend of the Rainbow Island
Atori,Atori,Novel,https://onepiece.fandom.com/wiki/Atori,,,2021,,6,One Piece novel HEROINES
Attach,Attach,Canon,https://onepiece.fandom.com/wiki/Attach,436.0,0139,2006,His name was revealed in SBS Volume 24.,,
Aunt,Aunt,Filler,https://onepiece.fandom.com/wiki/Aunt,,,2007,,318,Water 7 Arc
Avalo_Pizarro,Avalo Pizarro,Canon,https://onepiece.fandom.com/wiki/Avalo_Pizarro,575.0,0484,2010,His name was revealed by the Marines in Chapter 576.,,
Aveyron,Aveyron,Filler,https://onepiece.fandom.com/wiki/Aveyron,,,2016,,747,Silver Mine Arc
Ayako,Ayako,Filler,https://onepiece.fandom.com/wiki/Ayako,,,2007,,318,Water 7 Arc
Ayes%C3%A9_Mar,Ayesé Mar,Canon,https://onepiece.fandom.com/wiki/Ayes%C3%A9_Mar,,,2023,Joke character. They were first mentioned in SBS Volume 105.,,
Azuki,Azuki,Canon,https://onepiece.fandom.com/wiki/Azuki,940.0,0936,2019,Her name was revealed in Vivre Card.,,
Babanuki,Babanuki,Canon,https://onepiece.fandom.com/wiki/Babanuki,934.0,0930,2019,His name was revealed in Chapter 935.,,
Babe,Babe,Canon,https://onepiece.fandom.com/wiki/Babe,160.0,0103,2000,"He was first mentioned by Nefertari Vivi in Chapter 155 as his alias ""Mr. 4"". His real name was revealed in the Vivre Card databook.",,
Baburu,Baburu,Canon,https://onepiece.fandom.com/wiki/Baburu,690.0,0921,2012,Her name was revealed in the Vivre Card databook.,,
Baby_5,Baby 5,Canon,https://onepiece.fandom.com/wiki/Baby_5,682.0,0608,2012,,,
Baccarat,Baccarat,Movie,https://onepiece.fandom.com/wiki/Baccarat,,,2016,,13,One Piece Film: Gold
Bacura,Bacura,Canon,https://onepiece.fandom.com/wiki/Bacura,516.0,0409,2008,Her name was revealed by a Kuja in Chapter 518.,,
Bad_One_Gracie,Bad One Gracie,Premier Show,https://onepiece.fandom.com/wiki/Bad_One_Gracie,,,2017,,9,One Piece Premier Show 2017
Baggaley,Baggaley,Canon,https://onepiece.fandom.com/wiki/Baggaley,561.0,0489,2009,His name was revealed in the Green databook.,,
Bakezo,Bakezo,Canon,https://onepiece.fandom.com/wiki/Bakezo,668.0,0594,2012,He was named in his anime concept art.,,
Bald_Parrot,Bald Parrot,Movie,https://onepiece.fandom.com/wiki/Bald_Parrot,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Balloon,Balloon,Romance Dawn,https://onepiece.fandom.com/wiki/Balloon,,,1996,,2,"Romance Dawn, Version 2"
Balzac,Balzac,Premier Show,https://onepiece.fandom.com/wiki/Balzac,,,2019,,11,One Piece Premier Show 2019
Ban_Dedessin%C3%A9e,Ban Dedessinée,Canon,https://onepiece.fandom.com/wiki/Ban_Dedessin%C3%A9e,823.0,0777,2016,Her name was revealed in the captions of Episode 889.,,
Banban,Banban,Filler,https://onepiece.fandom.com/wiki/Banban,,,2007,,319,Water 7 Arc
Banchi,Banchi,Canon,https://onepiece.fandom.com/wiki/Banchi,114.0,0067,1999,,,
Banchina,Banchina,Canon,https://onepiece.fandom.com/wiki/Banchina,41.0,0017,1998,Her name was revealed in the Blue databook.,,
Bandsman,Bandsman,Movie,https://onepiece.fandom.com/wiki/Bandsman,,,2016,,13,One Piece Film: Gold
Bankuro,Bankuro,Canon,https://onepiece.fandom.com/wiki/Bankuro,966.0,0959,2020,His name was revealed in SBS Volume 96.,,
Banshee,Banshee,Canon,https://onepiece.fandom.com/wiki/Banshee,552.0,0461,2009,Her name was revealed in One Piece Magazine Vol.2.,,
Banzaburo,Banzaburo,Canon,https://onepiece.fandom.com/wiki/Banzaburo,960.0,0960,2019,His name was revealed in SBS Volume 98.,,
Banzai,Banzai,Game,https://onepiece.fandom.com/wiki/Banzai,,,2003,,,One Piece: Ocean's Dream!
Bao_Huang,Bao Huang,Canon,https://onepiece.fandom.com/wiki/Bao_Huang,979.0,0985,2020,,,
Barbados,Barbados,Game,https://onepiece.fandom.com/wiki/Barbados,,,2019,,,One Piece: World Seeker
Barbarossa,Barbarossa,Filler,https://onepiece.fandom.com/wiki/Barbarossa,,,2002,,097,Arabasta Arc
Bariete,Bariete,Canon,https://onepiece.fandom.com/wiki/Bariete,804.0,0753,2015,,,
Baron,Baron,Movie,https://onepiece.fandom.com/wiki/Baron,,,2016,,13,One Piece Film: Gold
Barricade,Barricade,Game,https://onepiece.fandom.com/wiki/Barricade,,,2023,,,One Piece Odyssey
Barry,Barry,Canon,https://onepiece.fandom.com/wiki/Barry,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Bartholomew_Just_a_Kuma,Bartholomew Just a Kuma,Spin-Off,https://onepiece.fandom.com/wiki/Bartholomew_Just_a_Kuma,,,2019,,08,Chin Piece
Bartholomew_Kuma,Bartholomew Kuma,Canon,https://onepiece.fandom.com/wiki/Bartholomew_Kuma,233.0,0151,2002,,,
Bartolomeo,Bartolomeo,Canon,https://onepiece.fandom.com/wiki/Bartolomeo,705.0,0633,2013,He was first mentioned by Dagama in Chapter 704.,,
Basil,Basil,Filler,https://onepiece.fandom.com/wiki/Basil,,,2007,,326,Ice Hunter Arc
Basil_Hawkins,Basil Hawkins,Canon,https://onepiece.fandom.com/wiki/Basil_Hawkins,498.0,0392,2008,,,
Basilisk,Basilisk,Canon,https://onepiece.fandom.com/wiki/Basilisk,528.0,0425,2009,,,
Baskerville,Baskerville,Canon,https://onepiece.fandom.com/wiki/Baskerville,379.0,0267,2005,His real name was revealed in the Vivre Card databook.,,
Bastille,Bastille,Canon,https://onepiece.fandom.com/wiki/Bastille,553.0,0462,2009,His name was revealed in the Blue Deep databook. He was fully introduced in Chapter 717.,,
Batchee,Batchee,Canon,https://onepiece.fandom.com/wiki/Batchee,43.0,0020,1998,His name was revealed in the Blue databook.,,
Batman,Batman,Canon,https://onepiece.fandom.com/wiki/Batman,914.0,0900,2018,,,
Battaman,Battaman,Canon,https://onepiece.fandom.com/wiki/Battaman,980.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Battler,Battler,Movie,https://onepiece.fandom.com/wiki/Battler,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Baxcon,Baxcon,Canon,https://onepiece.fandom.com/wiki/Baxcon,718.0,0648,2013,His name was revealed in SBS Volume 73.,,
Bayan,Bayan,TV special,https://onepiece.fandom.com/wiki/Bayan,,,2003,,2,"A Father's Huge, HUGE Dream"
Beak_Remark,Beak Remark,Canon,https://onepiece.fandom.com/wiki/Beak_Remark,599.0,0518,2010,His name was revealed in the Vivre Card databook.,,
Bear_King,Bear King,Movie,https://onepiece.fandom.com/wiki/Bear_King,,,2001,,2,Clockwork Island Adventure
Bearman,Bearman,Filler,https://onepiece.fandom.com/wiki/Bearman,,,2020,,934,Wano Country Arc
Beegirl,Beegirl,Canon,https://onepiece.fandom.com/wiki/Beegirl,980.0,1006,2020,Her name was revealed in the Vivre Card databook.,,
Beer_VI,Beer VI,Canon,https://onepiece.fandom.com/wiki/Beer_VI,823.0,0777,2016,His name was revealed in Chapter 905.,,
Beetleman,Beetleman,Canon,https://onepiece.fandom.com/wiki/Beetleman,983.0,0991,2020,His name was revealed in the Vivre Card databook.,,
Bekori,Bekori,Canon,https://onepiece.fandom.com/wiki/Bekori,1097.0,1131,2023,,,
Bell-m%C3%A8re,Bell-mère,Canon,https://onepiece.fandom.com/wiki/Bell-m%C3%A8re,77.0,0032,1999,She was first mentioned by Nami in Chapter 50.,,
Belladonna,Belladonna,Canon,https://onepiece.fandom.com/wiki/Belladonna,514.0,0408,2008,,,
Bellamy,Bellamy,Canon,https://onepiece.fandom.com/wiki/Bellamy,222.0,0146,2002,,,
Bellett,Bellett,Canon,https://onepiece.fandom.com/wiki/Bellett,537.0,0439,2009,Her name was revealed in the Blue Deep databook.,,
Belly#Overview,Belly - Overview,Canon,https://onepiece.fandom.com/wiki/Belly#Overview,,,2009,"His name was revealed in SBS Volume 53. His face is printed on every 10,000 banknote.",,
Belo_Betty,Belo Betty,Canon,https://onepiece.fandom.com/wiki/Belo_Betty,904.0,0880,2018,,,
Benevolent_King_of_the_Waves,Benevolent King of the Waves,Novel,https://onepiece.fandom.com/wiki/Benevolent_King_of_the_Waves,,,2017,,6,One Piece novel Straw Hat Stories
Benn_Beckman,Benn Beckman,Canon,https://onepiece.fandom.com/wiki/Benn_Beckman,1.0,0004,1997,His name was revealed in SBS Volume 5. He was first named in the manga by Borsalino in Chapter 579.,,
Bens,Bens,Game,https://onepiece.fandom.com/wiki/Bens,,,2023,,,One Piece Odyssey
Bent,Bent,Canon,https://onepiece.fandom.com/wiki/Bent,1134.0,,2024,His name was revealed in Chapter 1147.,,
Bentag,Bentag,Game,https://onepiece.fandom.com/wiki/Bentag,,,2023,,,One Piece Odyssey
Bentham,Bentham,Canon,https://onepiece.fandom.com/wiki/Bentham,129.0,0078,2000,He is formally introduced through an infobox in Chapter 154. His full name was revealed by Impel Down guard in Chapter 526.,,
Bepo,Bepo,Canon,https://onepiece.fandom.com/wiki/Bepo,498.0,0392,2008,,,
Beryl,Beryl,Novel,https://onepiece.fandom.com/wiki/Beryl,,,2023,,8,One Piece novel HEROINES
Bian,Bian,Canon,https://onepiece.fandom.com/wiki/Bian,717.0,0647,2013,,,
Biblo,Biblo,Canon,https://onepiece.fandom.com/wiki/Biblo,1134.0,,2024,His name was revealed in Chapter 1135.,,
Biera,Biera,Movie,https://onepiece.fandom.com/wiki/Biera,,,2003,,4,Dead End Adventure
Biezom,Biezom,Game,https://onepiece.fandom.com/wiki/Biezom,,,2023,,,One Piece Odyssey
Big_Pan,Big Pan,Canon,https://onepiece.fandom.com/wiki/Big_Pan,309.0,0210,2004,,,
Bigalo,Bigalo,Movie,https://onepiece.fandom.com/wiki/Bigalo,,,2003,,4,Dead End Adventure
Bildy,Bildy,Premier Show,https://onepiece.fandom.com/wiki/Bildy,,,2014,,6,One Piece Premier Show 2014
Bilibilero,Bilibilero,Game,https://onepiece.fandom.com/wiki/Bilibilero,,,2023,,,One Piece Odyssey
Bili%C4%87,Bilić,TV Special,https://onepiece.fandom.com/wiki/Bili%C4%87,,,2012,,6,Episode of Luffy
Bill,Bill,Filler,https://onepiece.fandom.com/wiki/Bill,,,2016,,746,Silver Mine Arc
Billy_(Pirate),Billy,Canon,https://onepiece.fandom.com/wiki/Billy_(Pirate),96.0,0048,1999,"Mentioned only character. He was first alluded to in Chapter 96, and was named in One Piece Magazine Vol.6.",,
Billy,Billy,Movie,https://onepiece.fandom.com/wiki/Billy,,,2009,,10,One Piece Film: Strong World
Billy_(Bandit),Billy (Bandit),Filler,https://onepiece.fandom.com/wiki/Billy_(Bandit),,,2002,,135,Post-Arabasta Arc
Billy_(Cook),Billy (Cook),Filler,https://onepiece.fandom.com/wiki/Billy_(Cook),,,2004,,196,G-8 Arc
Bimine,Bimine,Canon,https://onepiece.fandom.com/wiki/Bimine,657.0,,2004,Cover story character. He was first mentioned in Chapter 326.,,
Bingo,Bingo,Canon,https://onepiece.fandom.com/wiki/Bingo,928.0,0921,2018,,,
Binz,Binz,Movie,https://onepiece.fandom.com/wiki/Binz,,,2012,,12,One Piece Film: Z
Birdy,Birdy,Canon,https://onepiece.fandom.com/wiki/Birdy,101.0,0055,1999,Their name was revealed in Episode 567's credits.,,
Bishamon,Bishamon,Canon,https://onepiece.fandom.com/wiki/Bishamon,931.0,0925,2019,His name was revealed in the credits of Episode 926.,,
Bishonure-Onna,Bishonure-Onna,Canon,https://onepiece.fandom.com/wiki/Bishonure-Onna,998.0,1013,2020,Her name was revealed in the Vivre Card databook.,,
Bisley,Bisley,Canon,https://onepiece.fandom.com/wiki/Bisley,993.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Bismarck,Bismarck,Movie,https://onepiece.fandom.com/wiki/Bismarck,,,2004,,5,The Cursed Holy Sword
Bit,Bit,Movie,https://onepiece.fandom.com/wiki/Bit,,,2016,,13,One Piece Film: Gold
Biyo,Biyo,Canon,https://onepiece.fandom.com/wiki/Biyo,658.0,0583,2012,,,
Bizarre,Bizarre,Canon,https://onepiece.fandom.com/wiki/Bizarre,553.0,0468,2009,His name was revealed in the Green databook.,,
Bjorn_(Student),Bjorn,Canon,https://onepiece.fandom.com/wiki/Bjorn_(Student),1134.0,,2025,His name was revealed in Chapter 1144.,,
Bjorn,Bjorn,Canon,https://onepiece.fandom.com/wiki/Bjorn,1118.0,,2024,His name was revealed in Chapter 1118.,,
Black_(Non-Canon),Black,Game,https://onepiece.fandom.com/wiki/Black_(Non-Canon),,,2023,,,One Piece Odyssey
Black_Maria,Black Maria,Canon,https://onepiece.fandom.com/wiki/Black_Maria,977.0,0982,2020,Her name and appearance were revealed in Chapter 978.,,
Blackback,Blackback,Canon,https://onepiece.fandom.com/wiki/Blackback,805.0,0754,2015,,,
Blade,Blade,Canon,https://onepiece.fandom.com/wiki/Blade,1142.0,,2025,,,
Blago,Blago,Stage Show,https://onepiece.fandom.com/wiki/Blago,,,2018,,,ONE PIECE LIVE STAGE ～Tower of Steel～ (cancelled)
Blakey,Blakey,Canon,https://onepiece.fandom.com/wiki/Blakey,649.0,0569,2011,His name was revealed in the Vivre Card databook.,,
Blamenco,Blamenco,Canon,https://onepiece.fandom.com/wiki/Blamenco,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Blenheim,Blenheim,Canon,https://onepiece.fandom.com/wiki/Blenheim,553.0,0461,2009,His name was revealed by pirates in Chapter 573.,,
Blion,Blion,Movie,https://onepiece.fandom.com/wiki/Blion,,,2022,,15,One Piece Film: Red
Blondie,Blondie,Canon,https://onepiece.fandom.com/wiki/Blondie,558.0,0468,2009,His name was revealed in the Green databook.,,
Blow,Blow,Game,https://onepiece.fandom.com/wiki/Blow,,,2001,,,Legend of the Rainbow Island
Blue_Fan,Blue Fan,Canon,https://onepiece.fandom.com/wiki/Blue_Fan,516.0,0410,2008,Her name was revealed in SBS Volume 54.,,
Blue_Gilly,Blue Gilly,Canon,https://onepiece.fandom.com/wiki/Blue_Gilly,706.0,0636,2013,,,
Bluegrass,Bluegrass,Canon,https://onepiece.fandom.com/wiki/Bluegrass,1089.0,1123,2023,Her name was revealed in Chapter 1094.,,
Bluejam,Bluejam,Canon,https://onepiece.fandom.com/wiki/Bluejam,584.0,0494,2010,He was first mentioned by Porchemy in Chapter 583.,,
Blueno,Blueno,Canon,https://onepiece.fandom.com/wiki/Blueno,325.0,0230,2004,His name was revealed by Franky in Chapter 339.,,
Blumarine,Blumarine,Canon,https://onepiece.fandom.com/wiki/Blumarine,967.0,0959,2020,His name was revealed in SBS Volume 96.,,
Blyue,Blyue,Game,https://onepiece.fandom.com/wiki/Blyue,,,2004,,,One Piece: Round the Land
Boa_Hancock,Boa Hancock,Canon,https://onepiece.fandom.com/wiki/Boa_Hancock,516.0,0409,2008,She was first mentioned by the Risky Brothers in Chapter 489.,,
Boa_Marigold,Boa Marigold,Canon,https://onepiece.fandom.com/wiki/Boa_Marigold,516.0,0409,2008,,,
Boa_Sandersonia,Boa Sandersonia,Canon,https://onepiece.fandom.com/wiki/Boa_Sandersonia,516.0,0409,2008,,,
Bobbin,Bobbin,Canon,https://onepiece.fandom.com/wiki/Bobbin,651.0,0571,2012,,,
Bobby_(Non-Canon),Bobby,Movie,https://onepiece.fandom.com/wiki/Bobby_(Non-Canon),,,2003,,4,Dead End Adventure
Bobby_Funk,Bobby Funk,Canon,https://onepiece.fandom.com/wiki/Bobby_Funk,704.0,0632,2013,,,
Bobomba,Bobomba,Canon,https://onepiece.fandom.com/wiki/Bobomba,711.0,0641,2013,His name was revealed in SBS Volume 73.,,
Bobrad,Bobrad,Filler,https://onepiece.fandom.com/wiki/Bobrad,,,2016,,747,Silver Mine Arc
Bogard,Bogard,Canon,https://onepiece.fandom.com/wiki/Bogard,92.0,0068,1999,His name was revealed in Episode 68 credits.,,
Bokebokepon,Bokebokepon,Filler,https://onepiece.fandom.com/wiki/Bokebokepon,,,2001,,055,Warship Island Arc
Bokebonboko,Bokebonboko,Filler,https://onepiece.fandom.com/wiki/Bokebonboko,,,2001,,055,Warship Island Arc
Bokehontas,Bokehontas,Filler,https://onepiece.fandom.com/wiki/Bokehontas,,,2001,,055,Warship Island Arc
Bokuden,Bokuden,Filler,https://onepiece.fandom.com/wiki/Bokuden,,,2001,,055,Warship Island Arc
Bolam,Bolam,Digital Attraction,https://onepiece.fandom.com/wiki/Bolam,,,2017,,1,Digital Art Island Adventure
Bolster,Bolster,Premier Show,https://onepiece.fandom.com/wiki/Bolster,,,2024,,,One Piece Premier Show 2024
Bolt,Bolt,Movie,https://onepiece.fandom.com/wiki/Bolt,,,2012,,12,One Piece Film: Z
Bomba_(Marine),Bomba,Canon,https://onepiece.fandom.com/wiki/Bomba_(Marine),652.0,0589,2012,His name was revealed in Episode 622 credits.,,
Bomba,Bomba,Canon,https://onepiece.fandom.com/wiki/Bomba,711.0,0641,2013,His name was revealed in SBS Volume 73.,,
Bon_Borbon,Bon Borbon,Game,https://onepiece.fandom.com/wiki/Bon_Borbon,,,2008,,,One Piece RPG2 ~Thousand World~
Bonbon,Bonbon,Premier Show,https://onepiece.fandom.com/wiki/Bonbon,,,2015,,7,One Piece Premier Show 2015
Bonbori,Bonbori,TV Special,https://onepiece.fandom.com/wiki/Bonbori,,,2016,,11,Heart of Gold
