Name,Type,Chapter,Episode,Year,Note,Number,Appears in
Babe,Canon,160.0,0103,2000,"He was first mentioned by Nefertari Vivi in Chapter 155 as his alias ""Mr. 4"". His real name was revealed in the Vivre Card databook.",,
Baburu,Canon,690.0,0921,2012,Her name was revealed in the Vivre Card databook.,,
Baby 5,Canon,682.0,0608,2012,,,
Baccarat,Movie,,,2016,,13,One Piece Film: Gold
Bacura,Canon,516.0,0409,2008,Her name was revealed by a Kuja in Chapter 518.,,
Bad One Gracie,Premier Show,,,2017,,9,One Piece Premier Show 2017
Baggaley,Canon,561.0,0489,2009,His name was revealed in the Green databook.,,
Bakezo,Canon,668.0,0594,2012,He was named in his anime concept art.,,
Bald Parrot,Movie,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Balloon,Romance Dawn,,,1996,,2,"Romance Dawn, Version 2"
Balzac,Premier Show,,,2019,,11,One Piece Premier Show 2019
Ban Dedessinée,Canon,823.0,0777,2016,Her name was revealed in the captions of Episode 889.,,
Banban,Filler,,,2007,,319,Water 7 Arc
Banchi,Canon,114.0,0067,1999,,,
Banchina,Canon,41.0,0017,1998,Her name was revealed in the Blue databook.,,
Bandsman,Movie,,,2016,,13,One Piece Film: Gold
Bankuro,Canon,966.0,0959,2020,His name was revealed in SBS Volume 96.,,
Banshee,Canon,552.0,0461,2009,Her name was revealed in One Piece Magazine Vol.2.,,
Banzaburo,Canon,960.0,0960,2019,His name was revealed in SBS Volume 98.,,
Banzai,Game,,,2003,,,One Piece: Ocean's Dream!
Bao,Canon,449.0,0343,2007,,,
Bao Huang,Canon,979.0,0985,2020,,,
Barbados,Game,,,2019,,,One Piece: World Seeker
Barbarossa,Filler,,,2002,,097,Arabasta Arc
Bariete,Canon,804.0,0753,2015,,,
Baron,Movie,,,2016,,13,One Piece Film: Gold
Barrel,Canon,196.0,0120,2001,His name was revealed in the Blue databook.,,
Barricade,Game,,,2023,,,One Piece Odyssey
Barry,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Bartholomew Just a Kuma,Spin-Off,,,2019,,08,Chin Piece
Bartholomew Kuma,Canon,233.0,0151,2002,,,
Bartolomeo,Canon,705.0,0633,2013,He was first mentioned by Dagama in Chapter 704.,,
Bas,Canon,379.0,0267,2005,His name was revealed in Chapter 399.,,
Basil,Filler,,,2007,,326,Ice Hunter Arc
Basil Hawkins,Canon,498.0,0392,2008,,,
Basilisk,Canon,528.0,0425,2009,,,
Bastille,Canon,553.0,0462,2009,His name was revealed in the Blue Deep databook. He was fully introduced in Chapter 717.,,
Batchee,Canon,43.0,0020,1998,His name was revealed in the Blue databook.,,
Batman,Canon,914.0,0900,2018,,,
Battaman,Canon,980.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Battler,Movie,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Baxcon,Canon,718.0,0648,2013,His name was revealed in SBS Volume 73.,,
Bayan,TV special,,,2003,,2,"A Father's Huge, HUGE Dream"
Beak Remark,Canon,599.0,0518,2010,His name was revealed in the Vivre Card databook.,,
Bear King,Movie,,,2001,,2,Clockwork Island Adventure
Bearman,Filler,,,2020,,934,Wano Country Arc
Beegirl,Canon,980.0,1006,2020,Her name was revealed in the Vivre Card databook.,,
Beer VI,Canon,823.0,0777,2016,His name was revealed in Chapter 905.,,
Beetleman,Canon,983.0,0991,2020,His name was revealed in the Vivre Card databook.,,
Bekori,Canon,1097.0,1131,2023,,,
Bell-mère,Canon,77.0,0032,1999,She was first mentioned by Nami in Chapter 50.,,
Belladonna,Canon,514.0,0408,2008,,,
Bellamy,Canon,222.0,0146,2002,,,
Bellett,Canon,537.0,0439,2009,Her name was revealed in the Blue Deep databook.,,
Belo Betty,Canon,904.0,0880,2018,,,
Benevolent King of the Waves,Novel,,,2017,,6,One Piece novel Straw Hat Stories
Benn Beckman,Canon,1.0,0004,1997,His name was revealed in SBS Volume 5. He was first named in the manga by Borsalino in Chapter 579.,,
Bens,Game,,,2023,,,One Piece Odyssey
Bent,Canon,1134.0,,2024,His name was revealed in Chapter 1147.,,
Bentag,Game,,,2023,,,One Piece Odyssey
Bentham,Canon,129.0,0078,2000,He is formally introduced through an infobox in Chapter 154. His full name was revealed by Impel Down guard in Chapter 526.,,
Bepo,Canon,498.0,0392,2008,,,
Beryl,Novel,,,2023,,8,One Piece novel HEROINES
Bian,Canon,717.0,0647,2013,,,
Biblo,Canon,1134.0,,2024,His name was revealed in Chapter 1135.,,
Biera,Movie,,,2003,,4,Dead End Adventure
Biezom,Game,,,2023,,,One Piece Odyssey
Big Pan,Canon,309.0,0210,2004,,,
Bigalo,Movie,,,2003,,4,Dead End Adventure
Bildy,Premier Show,,,2014,,6,One Piece Premier Show 2014
Bilibilero,Game,,,2023,,,One Piece Odyssey
Bilić,TV Special,,,2012,,6,Episode of Luffy
Bill,Filler,,,2016,,746,Silver Mine Arc
Billy,Movie,,,2009,,10,One Piece Film: Strong World
Billy,Canon,96.0,0048,1999,"Mentioned only character. He was first alluded to in Chapter 96, and was named in One Piece Magazine Vol.6.",,
Billy (Bandit),Filler,,,2002,,135,Post-Arabasta Arc
Billy (Cook),Filler,,,2004,,196,G-8 Arc
Bimine,Canon,657.0,,2004,Cover story character. He was first mentioned in Chapter 326.,,
Bingo,Canon,928.0,0921,2018,,,
Binz,Movie,,,2012,,12,One Piece Film: Z
Birdy,Canon,101.0,0055,1999,Their name was revealed in Episode 567's credits.,,
Bishamon,Canon,931.0,0925,2019,His name was revealed in the credits of Episode 926.,,
Bishonure-Onna,Canon,998.0,1013,2020,Her name was revealed in the Vivre Card databook.,,
Bisley,Canon,993.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Bismarck,Movie,,,2004,,5,The Cursed Holy Sword
Bit,Movie,,,2016,,13,One Piece Film: Gold
Biyo,Canon,658.0,0583,2012,,,
Bizarre,Canon,553.0,0468,2009,His name was revealed in the Green databook.,,
Bjorn,Canon,1134.0,,2025,His name was revealed in Chapter 1144.,,
Bjorn,Canon,1118.0,,2024,His name was revealed in Chapter 1118.,,
Black,Game,,,2023,,,One Piece Odyssey
Black Maria,Canon,977.0,0982,2020,Her name and appearance were revealed in Chapter 978.,,
Blackback,Canon,805.0,0754,2015,,,
Blade,Canon,1142.0,,2025,,,
Blago,Stage Show,,,2018,,,ONE PIECE LIVE STAGE ～Tower of Steel～ (cancelled)
Blakey,Canon,649.0,0569,2011,His name was revealed in the Vivre Card databook.,,
Blamenco,Canon,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Blenheim,Canon,553.0,0461,2009,His name was revealed by pirates in Chapter 573.,,
Blion,Movie,,,2022,,15,One Piece Film: Red
Blondie,Canon,558.0,0468,2009,His name was revealed in the Green databook.,,
Blow,Game,,,2001,,,Legend of the Rainbow Island
Blue Fan,Canon,516.0,0410,2008,Her name was revealed in SBS Volume 54.,,
Blue Gilly,Canon,706.0,0636,2013,,,
Bluegrass,Canon,1089.0,1123,2023,Her name was revealed in Chapter 1094.,,
Bluejam,Canon,584.0,0494,2010,He was first mentioned by Porchemy in Chapter 583.,,
Blueno,Canon,325.0,0230,2004,His name was revealed by Franky in Chapter 339.,,
Blumarine,Canon,967.0,0959,2020,His name was revealed in SBS Volume 96.,,
Blyue,Game,,,2004,,,One Piece: Round the Land
Boa Hancock,Canon,516.0,0409,2008,She was first mentioned by the Risky Brothers in Chapter 489.,,
Boa Marigold,Canon,516.0,0409,2008,,,
Boa Sandersonia,Canon,516.0,0409,2008,,,
Bobbin,Canon,651.0,0571,2012,,,
Bobby,Movie,,,2003,,4,Dead End Adventure
Bobby Funk,Canon,704.0,0632,2013,,,
Bobomba,Canon,711.0,0641,2013,His name was revealed in SBS Volume 73.,,
Bobrad,Filler,,,2016,,747,Silver Mine Arc
Bogard,Canon,92.0,0068,1999,His name was revealed in Episode 68 credits.,,
Bokebokepon,Filler,,,2001,,055,Warship Island Arc
Bokebonboko,Filler,,,2001,,055,Warship Island Arc
Bokehontas,Filler,,,2001,,055,Warship Island Arc
Bokuden,Filler,,,2001,,055,Warship Island Arc
Bolam,Digital Attraction,,,2017,,1,Digital Art Island Adventure
Bolster,Premier Show,,,2024,,,One Piece Premier Show 2024
Bolt,Movie,,,2012,,12,One Piece Film: Z
Bomba,Canon,711.0,0641,2013,His name was revealed in SBS Volume 73.,,
Bomba,Canon,652.0,0589,2012,His name was revealed in Episode 622 credits.,,
Bon Borbon,Game,,,2008,,,One Piece RPG2 ~Thousand World~
Bonbon,Premier Show,,,2015,,7,One Piece Premier Show 2015
Bonbori,TV Special,,,2016,,11,Heart of Gold
Bongo,Canon,928.0,0921,2018,His name was revealed in Chapter 940.,,
Bonk Punch,Canon,1.0,0004,1997,His name was revealed in SBS Volume 101.,,
Bonney (Non-Canon),TV special,,,2003,,2,"A Father's Huge, HUGE Dream"
Boo,Canon,704.0,0632,2013,,,
Boo Jack,Movie,,,2001,,2,Clockwork Island Adventure
Boo Kong,Movie,,,2004,,5,The Cursed Holy Sword
Boodle,Canon,12.0,0006,1997,,,
Boogie,Canon,1038.0,1065,2022,His name was revealed in SBS Volume 102.,,
Boost,One-Shot,,,2015,,,One Piece Card Battle Hobby Strongest Kizuna Boost
Borodo,Movie,,,2001,,2,Clockwork Island Adventure
Boronoa Boro,Spin-Off,,,2018,,02,Chin Piece
Borsalino,Canon,504.0,0398,2008,He was first mentioned by Nico Robin in Chapter 319. His real name was revealed in Chapter 507. More commonly known by his alias Kizaru.,,
Bosao,Novel,,,2017,,7,One Piece novel Straw Hat Stories
Boss,Filler,,,2009,,426,Little East Blue Arc
Bounty,Premier Show,,,2018,,10,One Piece Premier Show 2018
Bourbon Jr.,Canon,180.0,0111,2001,His name was revealed in the Blue databook.,,
Braham,Canon,249.0,0163,2002,His name was revealed by Wyper in Chapter 251.,,
Brahm,Canon,196.0,0120,2001,His name was revealed in the Blue databook.,,
Bran,One-Shot,,,1993,,,God's Gift for the Future
Brannew,Canon,96.0,0045,1999,,,
Bravo,Game,,,2003,,,One Piece: Ocean's Dream!
Breed,Filler,,,2013,,625,Caesar Retrieval Arc
Brew,Canon,561.0,0470,2009,His name was revealed in the Green databook.,,
Brief,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Brigga,Game,,,2023,,,One Piece Odyssey
Brindo,Filler,,,2007,,326,Ice Hunter Arc
Briscola,Canon,993.0,0982,2020,,,
Brocca,Canon,561.0,0470,2009,Her name was revealed in the Green databook.,,
Brogy,Canon,115.0,0071,2000,,,
Brontosaurus,Canon,115.0,,1999,,,
Brook,Canon,442.0,0337,2007,,,
Bubblegum,Canon,1029.0,1054,2021,His name was revealed in SBS Volume 102.,,
Buche,Canon,880.0,0852,2017,,,
Buchi,Canon,31.0,0013,1999,,,
Buckingham Stussy,Canon,802.0,0752,2015,She was first introduced as Miss Buckin. Her full name was revealed in Chapter 1072.,,
Buena Festa,Movie,,,2019,,14,One Piece: Stampede
Buffalo,Canon,692.0,0618,2012,He was first mentioned by Donquixote Doflamingo in Chapter 682.,,
Bufflo,Game,,,2023,,,One Piece Odyssey
Buggy,Canon,9.0,0004,1997,He was first mentioned by the Tightrope Walking Funan Bros in Chapter 8.,,
Buhichuck,Canon,446.0,0340,2007,,,
Building Snake,Canon,41.0,0004,1998,His name was revealed in SBS Volume 101.,,
Bulaniki,Game,,,2023,,,One Piece Odyssey
Bulldog,Canon,1099.0,1133,2023,,,
Bulmatte,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Bulototo,Game,,,2023,,,One Piece Odyssey
Bunbuku,Canon,911.0,0894,2018,His name was revealed in SBS Volume 93.,,
Bungo,Canon,928.0,0921,2018,His name was revealed in Chapter 940.,,
Bunny Joe,Canon,546.0,0455,2009,His name was revealed in the Blue Deep databook.,,
Bushon,Canon,361.0,0251,2005,His name was revealed in the Blue Deep databook.,,
Busshiri,Canon,391.0,0275,2005,His name revealed in Color Walk 4.,,
Buzz,Movie,,,2011,,11,One Piece 3D: Straw Hat Chase
Byojack,TV Special,,,2014,,8,3D2Y
Byrnndi World,TV Special,,,2014,,8,3D2Y
Byron,Canon,501.0,0395,2008,,,
Bürst,Premier Show,,,2015,,7,One Piece Premier Show 2015
CB Gallant,Canon,966.0,0959,2020,His name was revealed in SBS Volume 96.,,
Cabaji,Canon,9.0,0007,1997,His name was revealed in Chapter 15.,,
Caesar Clown,Canon,658.0,0581,2012,His name was revealed in Chapter 663.,,
Caimanlady,Canon,1004.0,1020,2021,Her name was revealed in Chapter 1005.,,
Cal,Game,,,2002,,,One Piece: Treasure Wars
Camael,Movie,,,2016,,13,One Piece Film: Gold
Camel,Canon,695.0,0621,2013,Its name was revealed in SBS Volume 70.,,
Camie,Canon,195.0,0385,2001,She was formally introduced in Chapter 490.,,
Campacino,Filler,,,2007,,326,Ice Hunter Arc
Camus,Filler,,,2002,,099,Arabasta Arc
Cancer,Canon,96.0,0045,1999,His name was revealed in the Blue Deep databook.,,
Candre,Canon,557.0,0466,2009,His name was revealed in SBS Volume 70.,,
Cands,Canon,569.0,,2010,His name was revealed in the Green databook.,,
Candy,Canon,510.0,,2010,His name was revealed in Vivre Card.,,
Capone Bege,Canon,498.0,0392,2008,,,
Capone Pez,Canon,834.0,0795,2016,,,
Capote,Canon,306.0,0209,2004,,,
Captain Kuso,Spin-Off,,,2019,,02,Chin Piece
Captain Seven,Movie,,,2019,,14,One Piece: Stampede
Caramel,Filler,,,2019,,895,Cidre Guild Arc
Caramel Man #10,One-Shot,,,2005,,,Jump Super Stars (One-Shot)
Caramel Man #11,One-Shot,,,2005,,,Jump Super Stars (One-Shot)
Caribou,Canon,600.0,0519,2010,He was first mentioned by Demalo Black in Chapter 598.,,
Carina,TV Special,,,2016,,11,Heart of Gold
Carmel,Canon,866.0,0836,2017,Her name was first mentioned by Capone Bege in Chapter 859. She was first seen via a photograph in Chapter 861.,,
Carmen,Filler,,,2000,,050,Loguetown Arc
Carne,Canon,45.0,0021,1998,His name was revealed in Chapter 53.,,
Carol,Filler,,,2000,,050,Loguetown Arc
Caroline,Filler,,,2010,,454,Straw Hat's Separation Serial
Carpennya,Movie,,,2022,,15,One Piece Film: Red
Carragan,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Carrot,Canon,804.0,0753,2015,,,
Carta,Spin-Off,,,2019,,10,Chin Piece
Cassandra,Novel,,,2021,,5,One Piece novel HEROINES
Catacombo,Canon,602.0,0522,2010,His name was revealed in the Blue Deep databook.,,
Catarina Devon,Canon,575.0,0484,2010,She was first mentioned by Emporio Ivankov in Chapter 538.,,
Caucasusman,Canon,993.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Cavendish,Canon,704.0,0632,2013,,,
Cello,Game,,,2002,,,One Piece: Treasure Wars
Cerberus,Canon,444.0,0339,2007,,,
Cerberus,Canon,1137.0,,2025,Its name was revealed in Chapter 1138.,,
Cerriot,Live Performance,,,2012,,,WANTED
Cezar,Canon,823.0,0777,2016,His name was revealed in Vivre Card.,,
Chabo,Canon,69.0,0031,1999,His name was revealed in Chapter 70.,,
Chadros Higelyges,Canon,581.0,0490,2010,His real name was revealed in Vivre Card.,,
Chaka,Canon,155.0,0091,2000,His name was revealed in Chapter 167.,,
Chameleone,Premier Show,,,2012,,4,One Piece Premier Show 2012
Chao,Canon,738.0,0671,2014,His name was revealed by another dwarf in Chapter 755.,,
Chap,Canon,823.0,0777,2016,His name was revealed in Vivre Card.,,
Chappe,Canon,668.0,0593,2012,,,
Charles,Game,,,2019,,,One Piece: World Seeker
Charlos,Canon,499.0,0393,2008,,,
Charlotte Akimeg,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Allmeg,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Amande,Canon,827.0,0786,2016,Her name was revealed in Chapter 845.,,
Charlotte Anana,Canon,845.0,0809,2016,,,
Charlotte Angel,Canon,860.0,0830,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Anglais,Canon,845.0,0809,2016,His name was revealed in Chapter 848.,,
Charlotte Basans,Canon,862.0,0832,2017,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Basskarte,Canon,860.0,0830,2017,"His name was first mentioned in Chapter 898, and he was identified by the captions of Episode 839.",,
Charlotte Bavarois,Canon,888.0,0861,2017,,,
Charlotte Brownie,Canon,845.0,0809,2018,,,
Charlotte Broyé,Canon,864.0,0834,2017,Her name was revealed in the credits of Episode 835. Her full name was revealed in SBS Volume 90.,,
Charlotte Brûlée,Canon,831.0,0791,2016,Real appearance was revealed in Chapter 832.,,
Charlotte Cabaletta,Canon,845.0,0809,2016,His name was revealed in SBS Volume 85.,,
Charlotte Cadenza,Canon,845.0,0809,2016,His name was revealed in SBS Volume 85.,,
Charlotte Chiboust,Canon,894.0,0869,2018,His name was revealed in the credits of Episode 869.,,
Charlotte Chiffon,Canon,825.0,0783,2016,Her name was revealed in Chapter 834.,,
Charlotte Cinnamon,Canon,860.0,0828,2017,Her name was revealed in Chapter 892.,,
Charlotte Citron,Canon,861.0,0828,2017,Her name was revealed in Chapter 892.,,
Charlotte Compo,Canon,864.0,0834,2017,His name was revealed in Episode 846. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Compote,Canon,860.0,0830,2017,She was named in Chapter 861.,,
Charlotte Cornstarch,Canon,865.0,0835,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Counter,Canon,845.0,0809,2016,His name was revealed in SBS Volume 85.,,
Charlotte Cracker,Canon,835.0,0796,2016,Real appearance revealed in Chapter 838.,,
Charlotte Custard,Canon,862.0,0832,2017,Her full name was revealed in Episode 855.,,
Charlotte Dacquoise,Canon,854.0,0822,2017,His name was revealed in the caption of Episode 834. His full name was revealed in SBS Volume 90.,,
Charlotte Daifuku,Canon,861.0,0826,2017,,,
Charlotte De-Chat,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Dolce,Canon,845.0,0809,2016,,,
Charlotte Dosmarche,Canon,861.0,0832,2017,"His name was first mentioned in Chapter 898, and he was identified by the credits of Episode 835.",,
Charlotte Dragée,Canon,845.0,0809,2016,,,
Charlotte Effilée,Canon,864.0,0834,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Flampe,Canon,891.0,0865,2018,,,
Charlotte Fuyumeg,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Gala,Canon,,,2017,His name was revealed in SBS Volume 85.,,
Charlotte Galette,Canon,829.0,0789,2016,Her name was revealed in Chapter 843.,,
Charlotte Hachée,Canon,871.0,,2017,She was officially introduced in One Piece Magazine Vol.4.,,
Charlotte Harumeg,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte High-Fat,Canon,862.0,0832,2017,His name was revealed in the captions of Episode 841. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Joconde,Canon,894.0,0869,2018,,,
Charlotte Joscarpone,Canon,845.0,0809,2017,Her name was revealed in SBS Volume 86 and Chapter 880.,,
Charlotte Kanten,Canon,862.0,0839,2017,His name was revealed in the captions of Episode 839. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Katakuri,Canon,860.0,0825,2017,He was first mentioned by a Whole Cake Island resident in Chapter 843.,,
Charlotte Kato,Canon,854.0,0822,2017,His name was revealed in the credits of Episode 843. His full name was revealed in SBS Volume 90.,,
Charlotte Laurin,Canon,864.0,0834,2017,His name was revealed in the captions of Episode 834. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Linlin,Canon,651.0,0571,2012,She was first mentioned by Kid in Chapter 581. Her real name revealed by Pappag in Chapter 610.,,
Charlotte Lola,Canon,476.0,0370,2007,Her full name was revealed in Vivre Card.,,
Charlotte Maple,Canon,897.0,,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Marble,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Marnier,Canon,861.0,0831,2017,Her name was revealed in the credits of Episode 834. Her full name was revealed in SBS Volume 90.,,
Charlotte Mascarpone,Canon,845.0,0809,2017,His name was revealed in SBS Volume 86 and Chapter 880.,,
Charlotte Mash,Canon,865.0,0834,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Melise,Canon,854.0,,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Mobile,Canon,862.0,0832,2017,His name was revealed in the credits of Episode 833. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Mondée,Canon,854.0,0822,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Mont-d'Or,Canon,829.0,0789,2016,His name was fully revealed in Chapter 843.,,
Charlotte Montb,Canon,897.0,0873,2018,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Moscato,Canon,829.0,0788,2016,,,
Charlotte Mozart,Canon,862.0,0832,2017,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Myukuru,Canon,845.0,0809,2017,Her name was revealed in an anime promotion poster.,,
Charlotte Newgo,Canon,845.0,0809,2016,His name was revealed in SBS Volume 89.,,
Charlotte Newichi,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Newji,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Newsan,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
